	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
82003	that works when you really need it	you	PRON	that	nsubj	network	a phone network	(11, 17)	('network', '.')	Someday , someone 's going to design a cell phone network that works when you really need it .
82004	that he might or might not think to pick up	he	PRON	that	dobj	message	a quick message	(7, 16)	('message', ',')	I left him a quick message that he might or might not think to pick up , sprinted for my car , and broke a lot of traffic laws heading west .
82005	that would allow me to understand what was going on	what	PRON	that	nsubj	level	the lowest level	(16, 25)	('level', '.')	I put the chip back in the headset and resumed scanning at the lowest level that would allow me to understand what was going on .
82006	who 'd pay a tidy sum for one viewing of any of these	who	PRON	who	nsubj	people	people	(20, 32)	('people', '.')	With only one headset , Dylan could n't mass-market this stuff , but there would be people who 'd pay a tidy sum for one viewing of any of these .
82007	which was probably why Dylan had picked him to drive , rather than himself	Dylan	PROPN	which	nsubj	pro	a pro	(26, 39)	('-', '.')	Just because it was a hybrid did n't mean it did n't have power , and whoever I was handled the curves like a pro-which was probably why Dylan had picked him to drive , rather than himself .
82008	who 'd pay to experience it	who	PRON	who	nsubj	people	people	(11, 16)	('people', '.')	n't a race , but there 'd definitely be people who 'd pay to experience it .
82009	that could command a high price per viewing	that	DET	that	nsubj	recordings	recordings	(10, 17)	('recordings', '.')	With only the one headset , he needed recordings that could command a high price per viewing .
82010	who was hoping for a wreck	who	PRON	who	nsubj	Someone	Someone	(2, 7)	('Someone', ',')	Someone who was hoping for a wreck , maybe even a snuff film .
82011	who was willing to risk losing the headset in a crash because he thought he had a way to get more	he	PRON	who	nsubj	Someone	Someone	(1, 21)	('Someone', '.')	Someone who was willing to risk losing the headset in a crash because he thought he had a way to get more .
82012	who 'd set Dylan up	who	PRON	who	nsubj	people	the people	(8, 12)	('people', 'had')	If I was right , the people who 'd set Dylan up had planned on retrieving both the headset and the chip .
82013	who 'd pay $ 200 apiece just to view the chip	who	PRON	who	nsubj	folks	some folks	(9, 19)	('there', ',')	One of my friends found some folks there who 'd pay $200 apiece just to view the chip , then a few days later these guys showed up and started offering $500 for special recordings .
82014	"who gave a very similar description of his "" government types "" -minus"	who	PRON	who	nsubj	Derrick	Derrick	(8, 20)	(',', 'the')	""" Next , I woke up Derrick , who gave a very similar description of his "" government types "" -minus"
82015	that underestimates us skinny types	that	DET	that	nsubj	mentality	the player mentality	(14, 18)	('mentality', '-')	He wrapped my wrists-tightly enough , despite the football-player mentality that underestimates us skinny types-then opened the back door of his car and shoved me in .
82016	that could get me killed	me	PRON	that	nsubj	variables	little variables	(28, 32)	('variables', '.')	That produced another laugh , and by this time , the acting was easy because everything depended on timing and there were a lot of little variables that could get me killed .
82017	that tightly rolled up	that	DET	that	nsubj	all	all	(14, 17)	('all', ',')	It was tougher than I expected , but the window was n't all that tightly rolled up , and at the cost of bruised heels , my third attempt produced a gratifying shatter of glass .
82018	who act as local representatives for distant societies	who	PRON	who	nsubj	surrogates	intelligent surrogates	(18, 25)	('surrogates', '.')	Travel between the stars seems impossible , but InterstellarNet thrives using an elegant alternative : artificially intelligent surrogates who act as local representatives for distant societies .
82019	who call themselves Hunters	who	PRON	who	nsubj	carnivores	thin , scaled , bipedal carnivores	(15, 18)	('carnivores', '.')	The starship 's crew are whippet-thin , iridescent-scaled , bipedal carnivores who call themselves Hunters .
82020	who shot his crewmate a look	who	PRON	who	nsubj	Lothwer	Rashk Lothwer	(13, 18)	(',', '.')	""" The fourth and final biologic at the table was Rashk Lothwer , who shot his crewmate a look ."
82021	that went into it	that	DET	that	nsubj	All	All	(1, 4)	('All', 'were')	All that went into it were cherry juice and eighty-proof ouzo .
82022	that sometimes flew out	that	DET	that	nsubj	bits	the antimatter bits	(29, 32)	('bits', '.')	Antimatter had to be created first , by accelerating normal particles to very high energies and smacking them into each other , and then capturing the antimatter bits that sometimes flew out .
82023	that clung to her fur honest and comforting and somehow cleansing	that	DET	that	nsubj	dirt	the dirt	(9, 19)	('dirt', '.')	She dug in the moist loam , the dirt that clung to her fur honest and comforting and somehow cleansing .
82024	who tried to hide one	who	PRON	who	nsubj	humans	the humans	(13, 17)	('humans', '.')	The K'vithians showed no signs of an antimatter capability , unlike the humans who tried to hide one .
82025	that might prove too tempting	that	DET	that	nsubj	equipment	production equipment	(19, 23)	('equipment', '.')	The ship would bring fuel for the return trip ; it would not carry antimatter-production equipment that might prove too tempting .
82026	who answered	who	PRON	who	nsubj	officer	the K'vithian junior officer	(12, 13)	('officer', '.')	""" We have problems , "" she told the K'vithian junior officer who answered ."
82027	who had stolen Harmony	who	PRON	who	nsubj	those	those	(3, 6)	('those', 'return')	Would those who had stolen Harmony return it with its crew captive , with no way to refuel , to the Double Suns ?
82028	that protected her from the sulfur compounds ubiquitous to the Hunter part of the ship	that	DET	that	nsubj	mask	the mask	(7, 21)	('mask', '.')	Her voice was muffled by the mask that protected her from the sulfur compounds ubiquitous to the Hunter part of the ship .
82029	from which it sprang	it	PRON	which	pobj	ecology	the planetary ecology	(13, 16)	"('from', '""')"	Would not the shipboard ecology be synched with the planetary ecology from which it sprang ?
82030	that was not a complaint	that	DET	that	nsubj	one	one	(4, 8)	('one', '.')	she now added one that was not a complaint .
82031	that broke loose to flutter to the ground she thought	she	PRON	that	nsubj	leaves	the leaves	(3, 12)	('leaves', ':')	To the leaves that broke loose to flutter to the ground she thought : sorry .
82032	which continued to sicken	which	DET	which	nsubj	sections	the farming sections	(21, 24)	(',', '.')	All the while , the upsurge in work-team movements brought more contamination into the farming and hydroponics sections , which continued to sicken .
82033	that continued to stream past Harmony	that	DET	that	nsubj	messages	The messages	(2, 7)	('messages', 'transformed')	The messages that continued to stream past Harmony transformed from a virtual lifeline into a gnawing reminder of comradeship lost .
82034	whose networks were wireless	networks	NOUN	whose	poss	K'vithians	the K'vithians	(19, 22)	(',', ',')	Impossible-to-reproduce errors were about to break out across the ship ; the K'vithians , whose networks were wireless , would not soon imagine the cause .
82035	with which insurers lacked experience	insurers	NOUN	which	pobj	chemicals	chemicals	(9, 13)	('with', 'could')	A few freighters were to carry chemicals with which insurers lacked experience ; could the UP intervene to get those ships released ?
82036	several of whom were leading her yet again to Mashkith 's cabin	several	ADJ	whom	pobj	captors	her captors	(8, 19)	('of', 'scurry')	It irritated her captors , several of whom were leading her yet again to Mashkith 's cabin , to scurry to keep pace with her .
82037	which also requires the new photonic parts	which	DET	which	nsubj	infrastructure	the infrastructure	(6, 12)	(',', ',')	Without repairing the infrastructure , which also requires the new photonic parts , we dare not .
82038	which she used to change the subject	she	PRON	which	dobj	approach	the exchange approach	(13, 19)	(',', '.')	Art had had his own question about the antimatter exchange approach , which she used to change the subject .
82039	that he discovered	he	PRON	that	dobj	Everything	Everything	(2, 4)	('Everything', 'he')	Everything that he discovered he fused into higher-order information .
82040	that characterized the reserve account	that	DET	that	nsubj	codes	data codes	(16, 20)	('codes', '.')	T'bck Ra used the printer only to produce the pages of access data and authentication codes that characterized the reserve account .
82041	"that gave new meaning to the word "" remote"	that	DET	that	nsubj	regions	regions	(22, 30)	('regions', '.')	"Almost , they shook Mashkith 's faith Until the warship under his command detected a vast , decelerating object onrushing from regions that gave new meaning to the word "" remote ."
82042	that was the artifact	that	DET	that	nsubj	hollowness	hollowness	(6, 9)	('hollowness', ',')	Within the vast , labyrinthine hollowness that was the artifact , the thudding of combat boots echoed and reechoed .
